epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,3478.67,1.73408,1.01175,0.93327,0.77344,0.36986,0.44022,0.18092,2.58178,1.34319,1.4464,0.0004655,0.0004655,0.0004655
157,3498.46,1.79242,1.06015,0.94954,0.79265,0.36658,0.43824,0.17718,2.5732,1.16534,1.33265,0.0004556,0.0004556,0.0004556
158,3516.79,1.84156,1.10145,0.92193,0.64622,0.37443,0.43005,0.16886,2.63,1.30395,1.39305,0.0004457,0.0004457,0.0004457
159,3536.35,1.78249,1.06446,0.93067,0.66766,0.38813,0.43849,0.17838,2.54762,1.17502,1.39998,0.0004358,0.0004358,0.0004358
160,3555.5,1.79211,1.09643,0.94043,0.67506,0.379,0.43609,0.1751,2.6398,1.52743,1.54267,0.0004259,0.0004259,0.0004259
161,3574.7,1.73123,1.02023,0.92613,0.60803,0.40639,0.44652,0.17665,2.67026,1.33244,1.47759,0.000416,0.000416,0.000416
162,3592.84,1.78873,1.10039,0.93874,0.6103,0.40183,0.42567,0.16846,2.45598,1.19784,1.30677,0.0004061,0.0004061,0.0004061
163,3612.48,1.7291,1.03451,0.93327,0.69114,0.379,0.43942,0.17939,2.41946,1.41116,1.28388,0.0003962,0.0003962,0.0003962
164,3630.29,1.76613,1.06431,0.93039,0.75481,0.38356,0.45283,0.17942,2.46033,1.30612,1.32377,0.0003863,0.0003863,0.0003863
165,3650.17,1.73492,1.03272,0.92131,0.74612,0.3653,0.43759,0.18111,2.48483,1.32967,1.30556,0.0003764,0.0003764,0.0003764
166,3668.62,1.67947,0.99697,0.92543,0.71461,0.36073,0.43545,0.18131,2.4844,1.53792,1.33852,0.0003665,0.0003665,0.0003665
167,3687.89,1.66257,0.96905,0.93496,0.60961,0.38504,0.43582,0.17635,2.56326,1.67194,1.36018,0.0003566,0.0003566,0.0003566
168,3706.12,1.76704,1.07583,0.93427,0.84739,0.34703,0.44155,0.17933,2.56221,1.51797,1.35102,0.0003467,0.0003467,0.0003467
169,3725.04,1.70475,1.00677,0.91593,0.67619,0.42009,0.4627,0.18308,2.49606,1.44689,1.34461,0.0003368,0.0003368,0.0003368
170,3743.8,1.70184,1.01162,0.9369,0.71945,0.38643,0.44774,0.18117,2.40844,1.3085,1.31173,0.0003269,0.0003269,0.0003269
171,3763.61,1.70852,1.01879,0.93965,0.72637,0.36073,0.42343,0.17399,2.62385,1.25583,1.40877,0.000317,0.000317,0.000317
172,3782.44,1.69901,1.03377,0.94364,0.75633,0.36986,0.42791,0.17186,2.50461,1.51382,1.3851,0.0003071,0.0003071,0.0003071
173,3801.62,1.72787,1.02877,0.93564,0.77803,0.36986,0.43032,0.17138,2.63402,1.31776,1.41235,0.0002972,0.0002972,0.0002972
174,3819.97,1.7317,1.03081,0.9383,0.68115,0.38044,0.43521,0.17162,2.64231,1.21793,1.45913,0.0002873,0.0002873,0.0002873
175,3839.03,1.71499,1.02533,0.93047,0.71928,0.379,0.43297,0.17086,2.55595,1.19257,1.42235,0.0002774,0.0002774,0.0002774
176,3858.14,1.69374,0.99997,0.92543,0.69913,0.41382,0.45303,0.17547,2.49964,1.24104,1.3365,0.0002675,0.0002675,0.0002675
177,3877.73,1.68221,1.01675,0.91993,0.66398,0.38356,0.43708,0.1783,2.57036,1.31064,1.39325,0.0002576,0.0002576,0.0002576
178,3895.99,1.7656,1.04558,0.92859,0.71333,0.379,0.4409,0.18375,2.4329,1.14679,1.31832,0.0002477,0.0002477,0.0002477
179,3915.89,1.72387,1.0274,0.93195,0.66787,0.39726,0.44013,0.18004,2.53278,1.22595,1.35558,0.0002378,0.0002378,0.0002378
180,3934.13,1.67515,0.95606,0.90745,0.71196,0.39269,0.4532,0.1836,2.53276,1.24227,1.33123,0.0002279,0.0002279,0.0002279
